OBJECTID,CommunityName,Census_Area,EconomicRegion,FIPS,last_update_date,created_date
1,Aleutians East Borough,,Southwest Economic Region,02013,2022/06/08 08:00:00+00,
2,Aleutians West Census Area,Y,Southwest Economic Region,02016,,
3,Bethel Census Area,Y,Southwest Economic Region,02050,,
4,Bristol Bay Borough,,Southwest Economic Region,02060,2022/06/08 08:00:00+00,
5,Chugach Census Area,Y,Gulf Coast Economic Region,02063,2022/06/09 08:00:00+00,
6,City and Borough of Juneau,,Southeast Economic Region,02110,2024/12/19 09:00:00+00,
7,City and Borough of Sitka,,Southeast Economic Region,02220,2024/12/27 09:00:00+00,
8,City and Borough of Wrangell,,Southeast Economic Region,02275,2022/06/09 08:00:00+00,
9,City and Borough of Yakutat,,Southeast Economic Region,02282,2022/06/08 08:00:00+00,
10,Copper River Census Area,Y,Gulf Coast Economic Region,02066,2022/06/08 08:00:00+00,
11,Denali Borough,,Interior Economic Region,02068,,
12,Dillingham Census Area,Y,Southwest Economic Region,02070,2022/06/08 08:00:00+00,
13,Fairbanks North Star Borough,,Interior Economic Region,02090,,
14,Haines Borough,,Southeast Economic Region,02100,2024/12/19 09:00:00+00,
15,Hoonah-Angoon Census Area,Y,Southeast Economic Region,02105,2024/12/27 09:00:00+00,
16,Kenai Peninsula Borough,,Gulf Coast Economic Region,02122,2022/06/09 08:00:00+00,
17,Ketchikan Gateway Borough,,Southeast Economic Region,02130,2022/06/08 08:00:00+00,
18,Kodiak Island Borough,,Gulf Coast Economic Region,02150,2022/06/08 08:00:00+00,
19,Kusilvak Census Area,Y,Southwest Economic Region,02270,,
20,Lake and Peninsula Borough,,Southwest Economic Region,02164,2022/06/08 08:00:00+00,
21,Matanuska-Susitna Borough,,Anchorage/Mat-Su Economic Region,02170,2022/06/09 08:00:00+00,
22,Municipality of Anchorage,,Anchorage/Mat-Su Economic Region,02020,2022/06/09 08:00:00+00,
23,Municipality of Skagway,,Southeast Economic Region,02230,2022/06/08 08:00:00+00,
24,Nome Census Area,Y,Northern Economic Region,02180,,
25,North Slope Borough,,Northern Economic Region,02185,,
26,Northwest Arctic Borough,,Northern Economic Region,02188,,
27,Petersburg Borough,,Southeast Economic Region,02195,2022/06/09 08:00:00+00,
28,Prince of Wales-Hyder Census Area,Y,Southeast Economic Region,02198,2024/12/27 09:00:00+00,
29,Southeast Fairbanks Census Area,Y,Interior Economic Region,02240,,
30,Yukon-Koyukuk Census Area,Y,Interior Economic Region,02290,,
